time_ms,command_angle,feedback_angle,current_mA
56549,20,20,120.00
56601,20,21,119.20
56653,20,21,114.90
56704,20,20,117.40
56755,20,21,113.20
56806,20,21,113.30
56857,20,21,113.30
56908,20,20,115.70
56959,20,21,116.60
57010,20,21,119.30
57062,20,20,124.40
57114,20,20,127.10
57165,20,21,120.40
57216,20,21,63.40
57267,20,21,109.00
57319,20,20,108.70
57370,20,21,108.80
57421,20,21,109.10
57472,20,21,112.10
57523,20,20,115.80
57574,20,20,116.70
57626,20,21,114.80
57678,20,20,110.60
57729,20,20,109.40
57780,20,20,109.30
57832,20,21,109.30
57884,20,20,109.30
57935,20,21,109.20
57986,20,20,110.50
58037,20,20,114.40
58089,20,20,119.40
58141,20,21,123.10
58193,20,20,116.20
58245,20,21,109.60
58296,20,20,109.10
58347,20,21,108.10
58398,20,20,113.30
58450,20,21,118.10
58503,20,20,112.90
58555,20,21,108.50
58606,20,20,108.60
58657,20,20,108.80
58709,20,21,105.80
58761,20,21,114.80
58813,20,20,117.00
58865,20,20,114.50
58916,20,20,109.50
58968,20,20,108.90
59020,20,20,109.00
59071,20,20,108.70
59122,20,20,111.50
59173,20,21,115.40
59225,20,20,116.70
59277,20,21,112.30
59329,20,21,109.20
59381,20,21,109.30
59434,20,21,109.20
59485,20,20,111.10
59536,20,20,118.50
59588,20,20,116.20
59639,20,20,125.60
59690,20,21,116.10
59742,20,20,111.00
59794,20,20,109.80
59845,20,21,109.20
59896,20,21,110.90
59947,20,21,114.80
59999,20,21,118.20
60051,20,20,109.50
60103,20,21,108.60
60154,20,21,108.50
60205,20,21,108.40
60256,20,21,110.40
60308,20,20,115.80
60360,20,21,116.60
60412,20,20,112.70
60463,20,20,109.20
60514,20,20,109.10
60565,90,20,475.60
60616,90,28,412.10
60667,90,43,472.90
60718,90,51,558.00
60770,90,63,535.00
60821,90,79,107.50
60872,90,86,139.20
60923,90,86,122.70
60975,90,78,137.80
61026,90,78,132.20
61077,90,78,142.00
61128,90,78,135.20
61179,90,81,120.20
61230,90,88,117.50
61281,90,81,112.90
61333,90,88,109.10
61385,90,77,130.70
61437,90,87,101.70
61489,90,88,101.30
61541,90,79,103.70
61593,90,88,104.20
61644,90,88,97.30
61695,90,79,94.30
61746,90,78,120.60
61797,90,80,96.80
61848,90,79,110.50
61900,90,87,107.70
61952,90,79,102.40
62004,90,86,98.70
62055,90,84,95.10
62106,90,88,125.30
62157,90,79,103.00
62208,90,88,130.00
62259,90,88,93.80
62310,90,89,97.50
62361,90,79,93.70
62412,90,88,100.30
62463,90,87,100.50
62514,90,88,93.80
62565,90,81,93.80
62616,90,88,73.00
62667,90,88,72.80
62719,90,88,76.70
62770,90,88,83.00
62821,90,80,83.50
62872,90,88,77.50
62923,90,80,73.60
62975,90,80,69.50
63026,90,88,91.10
63077,90,88,70.70
63128,90,88,74.80
63179,90,88,76.30
63231,90,88,74.30
63282,90,88,71.20
63333,90,83,70.60
63384,90,86,69.90
63435,90,80,70.10
63487,90,88,69.60
63538,90,88,69.70
63589,90,88,69.60
63640,90,88,71.80
63691,90,81,70.70
63743,90,81,70.90
63794,90,86,70.10
63845,90,81,69.70
63896,90,88,69.30
63947,90,81,69.20
63999,90,88,69.60
64050,90,88,69.60
64101,90,88,71.00
64152,90,88,72.80
64203,90,87,73.20
64255,90,88,74.40
64306,90,81,74.40
64357,90,81,74.40
64408,90,88,74.10
64459,90,88,72.50
64511,90,81,71.40
64562,90,88,71.90
64613,90,86,71.30
64664,90,83,70.10
64715,90,84,70.00
64767,90,82,69.60
64818,90,88,69.40
64869,90,88,69.20
64920,90,88,69.30
